id,name,released,metacritic,rating,ratings_count,reviews_count,playtime_hours,genres,platforms,esrb_rating,slug,release_year,decade,genre_primary,genre_count,rating_10,composite_score,popularity_log,platform_primary
25096,The Legend of Zelda: A Link to the Past,1991-11-21,95,4.35,579,586,28,"Action, Adventure","Wii, Game Boy Advance, SNES, Nintendo Switch, Nintendo 3DS, Wii U",Everyone,the-legend-of-zelda-a-link-to-the-past,1991,1990s,Action,2,8.7,91.8,6.363,Wii
3179,LittleBigPlanet,2008-10-27,95,4.09,553,555,5,"Action, Arcade",PlayStation 3,Everyone 10+,littlebigplanet,2008,2000s,Action,2,8.18,89.7,6.317,PlayStation 3
25924,The Legend of Zelda: Majora's Mask,2000-04-27,95,4.33,419,424,23,"Action, Adventure","Nintendo Switch, Nintendo 64",Everyone 10+,the-legend-of-zelda-majoras-mask,2000,2000s,Action,2,8.66,91.6,6.04,Nintendo Switch
45958,XCOM 2: War of the Chosen,2017-08-29,95,4.4,232,236,0,Strategy,"PlayStation 4, Linux, macOS, PC, Xbox One",Teen,xcom-2-war-of-the-chosen,2017,2010s,Strategy,1,8.8,92.2,5.451,PlayStation 4
30799,Baldur's Gate II: Shadows of Amn,2000-09-21,95,4.28,153,156,1,"RPG, Strategy","Android, PC, macOS",Teen,baldurs-gate-ii-shadows-of-amn,2000,2000s,RPG,2,8.56,91.2,5.037,Android
378578,Grand Theft Auto IV: Complete Edition,2010-10-27,95,4.57,100,101,0,"Action, Adventure","PC, PlayStation 3, Xbox 360",Adults Only,grand-theft-auto-iv-complete-edition,2010,2010s,Action,2,9.14,93.6,4.615,PC
364800,The Legend of Zelda: Collector's Edition,2003-11-07,95,4.27,11,11,0,"Action, Adventure, RPG",GameCube,Everyone,the-legend-of-zelda-collectors-edition,2003,2000s,Action,3,8.54,91.2,2.485,GameCube
58175,God of War (2018),2018-04-20,94,4.54,5139,5248,15,Action,"PC, PlayStation 4",Mature,god-of-war-2,2018,2010s,Action,1,9.08,92.7,8.545,PC
5679,The Elder Scrolls V: Skyrim,2011-11-11,94,4.42,4907,4964,46,"Action, RPG","PlayStation 5, PlayStation 4, PC, Xbox One, Xbox Series S/X, Nintendo Switch, Xbox 360, PlayStation 3",Mature,the-elder-scrolls-v-skyrim,2011,2010s,Action,2,8.84,91.8,8.499,PlayStation 5
4062,BioShock Infinite,2013-03-26,94,4.38,4168,4211,12,"Action, Shooter","PlayStation 4, Xbox 360, Nintendo Switch, Linux, PC, PlayStation 3, Xbox One",Mature,bioshock-infinite,2013,2010s,Action,2,8.76,91.4,8.335,PlayStation 4
430,Grand Theft Auto: Vice City,2002-10-27,94,4.45,3094,3112,2,Action,"Android, macOS, PC, iOS, PlayStation 4, PS Vita, PlayStation 2, Xbox",Mature,grand-theft-auto-vice-city,2002,2000s,Action,1,8.9,92.0,8.038,Android
4806,Mass Effect 2,2010-01-26,94,4.46,3081,3104,22,"Action, RPG","PC, Xbox One, PlayStation 3, Xbox 360",Mature,mass-effect-2,2010,2010s,Action,2,8.92,92.1,8.033,PC
28623,Batman: Arkham City,2011-10-18,94,4.41,2168,2192,20,Action,"PC, PlayStation 3, Nintendo Switch, macOS, PlayStation 4, Xbox One, Xbox 360",Teen,batman-arkham-city-2,2011,2010s,Action,1,8.82,91.7,7.682,PC
57607,Metal Gear Solid,1998-09-03,94,4.4,1153,1166,1,Action,"PC, Game Boy Color, PlayStation, PlayStation 3",Mature,metal-gear-solid-1,1998,1990s,Action,1,8.8,91.6,7.051,PC
16359,Divinity: Original Sin - Enhanced Edition,2015-10-27,94,4.25,1027,1039,8,"RPG, Indie","PC, Linux, macOS, PlayStation 4, Xbox One",Mature,divinity-original-sin-enhanced-edition,2015,2010s,RPG,2,8.5,90.4,6.935,PC
5678,The Elder Scrolls IV: Oblivion,2006-03-20,94,4.34,959,966,4,"Adventure, RPG, Indie","PC, Xbox 360, PlayStation 3, Xbox One",Mature,the-elder-scrolls-iv-oblivion,2006,2000s,Adventure,3,8.68,91.1,6.867,PC
54528,Super Mario 64,1996-06-23,94,4.39,757,767,12,Platformer,Nintendo 64,Everyone,super-mario-64-1996,1996,1990s,Platformer,1,8.78,91.5,6.631,Nintendo 64
29179,God of War I,2005-03-22,94,4.36,718,733,11,Action,"PS Vita, PlayStation 2, PlayStation 3",Mature,god-of-war,2005,2000s,Action,1,8.72,91.3,6.578,PS Vita
15642,The Elder Scrolls IV: Oblivion Game of the Year Edition,2009-06-16,94,4.32,680,681,5,RPG,"PC, Xbox 360, PlayStation 3",Mature,the-elder-scrolls-iv-oblivion-game-of-the-year-edi,2009,2000s,RPG,1,8.64,91.0,6.524,PC
3469,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,94,4.38,664,669,20,"Action, Shooter",PlayStation 3,Mature,metal-gear-solid-4-guns-of-the-patriots,2008,2000s,Action,2,8.76,91.4,6.5,PlayStation 3
59199,Divinity: Original Sin 2 - Definitive Edition,2018-08-31,94,4.51,591,599,10,RPG,"PlayStation 4, Nintendo Switch, macOS, PC, iOS, Xbox One",Mature,divinity-original-sin-ii-definitive-edition,2018,2010s,RPG,1,9.02,92.5,6.384,PlayStation 4
29593,Diablo,1996-12-31,94,4.39,536,541,1,"Action, RPG","PC, macOS, PlayStation",Not Rated,diablo,1996,1990s,Action,2,8.78,91.5,6.286,PC
339958,Persona 5 Royal,2020-03-31,94,4.75,527,540,12,"Adventure, RPG","Xbox Series S/X, PC, PlayStation 5, Nintendo Switch, Xbox One, PlayStation 4",Mature,persona-5-royal,2020,2020s,Adventure,2,9.5,94.4,6.269,Xbox Series S/X
53341,Jet Set Radio,2000-06-29,94,3.41,508,512,1,"Action, Sports, Platformer","iOS, Xbox 360, Android, Game Boy Advance, Dreamcast, PlayStation 3, PS Vita, PC",Teen,jet-set-radio-2012,2000,2000s,Action,3,6.82,83.7,6.232,iOS
54491,Quake,1996-06-22,94,4.25,486,491,1,"Action, Shooter","Xbox One, macOS, Linux, Classic Macintosh, Xbox, Nintendo Switch, PlayStation 4, Nintendo 64, SEGA Saturn, Commodore / Amiga, PC, Xbox Series S/X, PlayStation 5",Not Rated,quake,1996,1990s,Action,2,8.5,90.4,6.188,Xbox One
13780,Sid Meier's Civilization IV,2005-10-25,94,4.11,375,375,1,Strategy,"PC, macOS",Everyone 10+,sid-meiers-civilization-iv,2005,2000s,Strategy,1,8.22,89.3,5.93,PC
27969,The Legend of Zelda: Ocarina of Time 3D,2011-06-19,94,4.55,360,368,13,"Adventure, RPG, Puzzle",Nintendo 3DS,Everyone 10+,the-legend-of-zelda-ocarina-of-time-3d,2011,2010s,Adventure,3,9.1,92.8,5.889,Nintendo 3DS
28581,The Orange Box,2008-01-01,94,4.54,328,328,6,Shooter,"Linux, macOS, Xbox 360, PC, PlayStation 3",Teen,the-orange-box,2008,2000s,Shooter / FPS,1,9.08,92.7,5.796,Linux
28224,Burnout 3: Takedown,2004-09-07,94,4.4,159,161,23,"Racing, Arcade","Xbox, PlayStation 2, Xbox 360",Teen,burnout-3-takedown,2004,2000s,Racing,2,8.8,91.6,5.075,Xbox
